Threaded System Active. 10s Watchdog engaged. Monitoring for 2ms deadlines...
[THREADED SENSOR] Connecting to Wikipedia...
[LEADERBOARD] No data yet.
[LEADERBOARD] No data yet.
Connected! Monitoring firehose...
[OK] Server: www.wikidata.org | Bot: false | User: Dalena353 | Drift: 160.8µs | Latency: 161.9µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 311µs | Latency: 100.2µs
[OK] Server: commons.wikimedia.org | Bot: false | User: Lukas Raich | Drift: 540.6µs | Latency: 117.7µs
[OK] Server: en.wiktionary.org | Bot: false | User: Jonashtand | Drift: 704.4µs | Latency: 35.7µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 1.8155ms | Latency: 28.1µs
[OK] Server: commons.wikimedia.org | Bot: false | User: Lukas Raich | Drift: 260.1µs | Latency: 70.5µs
[OK] Server: en.wiktionary.org | Bot: false | User: Jonashtand | Drift: 518µs | Latency: 95.6µs
[OK] Server: zh.wikisource.org | Bot: true | User: SuperGrey-bot | Drift: 9.7584ms | Latency: 61.4µs
[OK] Server: fr.wikisource.org | Bot: false | User: Grrrrrrrrrrr | Drift: 91µs | Latency: 70.9µs
[OK] Server: zh.wikisource.org | Bot: true | User: SuperGrey-bot | Drift: 1.8415ms | Latency: 64.8µs
[OK] Server: commons.wikimedia.org | Bot: false | User: Lukas Raich | Drift: 121.6µs | Latency: 80.3µs
[OK] Server: en.wiktionary.org | Bot: false | User: Jonashtand | Drift: 149.3µs | Latency: 123.9µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 7.6886ms | Latency: 68µs
[OK] Server: commons.wikimedia.org | Bot: false | User: Doc James | Drift: 95.1µs | Latency: 41.4µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 37.3809ms | Latency: 32µs
[OK] Server: zh.wikisource.org | Bot: true | User: SuperGrey-bot | Drift: 28.2807ms | Latency: 46.5µs
[OK] Server: zh.wikisource.org | Bot: true | User: SuperGrey-bot | Drift: 27.5843ms | Latency: 41.2µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 19.3918ms | Latency: 63.3µs
[OK] Server: zh.wikisource.org | Bot: true | User: SuperGrey-bot | Drift: 19.317ms | Latency: 64.7µs
[OK] Server: zh.wikisource.org | Bot: true | User: SuperGrey-bot | Drift: 10.4018ms | Latency: 39.4µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 2.2756ms | Latency: 57.8µs
[OK] Server: commons.wikimedia.org | Bot: false | User: Doc James | Drift: 69.4µs | Latency: 37µs
[OK] Server: ce.wikipedia.org | Bot: true | User: CheWikibot | Drift: 976.7µs | Latency: 47.8µs
[OK] Server: commons.wikimedia.org | Bot: false | User: Doc James | Drift: 391.8µs | Latency: 41.1µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 3.2639ms | Latency: 42.1µs
[OK] Server: commons.wikimedia.org | Bot: false | User: Doc James | Drift: 90.7µs | Latency: 44.7µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 872.8µs | Latency: 33µs
[OK] Server: commons.wikimedia.org | Bot: false | User: Doc James | Drift: 458.6µs | Latency: 35.5µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 637.3µs | Latency: 65µs
[OK] Server: commons.wikimedia.org | Bot: false | User: Doc James | Drift: 124.1µs | Latency: 59.4µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 1.0362ms | Latency: 37.6µs
[OK] Server: commons.wikimedia.org | Bot: false | User: Doc James | Drift: 75.3µs | Latency: 64.1µs
[OK] Server: commons.wikimedia.org | Bot: true | User: SchlurcherBot | Drift: 4.5786ms | Latency: 78µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 754.5µs | Latency: 32.5µs
[OK] Server: en.wikipedia.org | Bot: false | User: Tom.Reding | Drift: 175.8µs | Latency: 66.2µs
[OK] Server: ce.wikipedia.org | Bot: true | User: CheWikibot | Drift: 1.1165ms | Latency: 74.4µs
[OK] Server: ja.wikipedia.org | Bot: false | User: 柏尾菓子 | Drift: 69.1µs | Latency: 79.5µs
[OK] Server: ce.wikipedia.org | Bot: true | User: CheWikibot | Drift: 9.6471ms | Latency: 51.9µs
[OK] Server: en.wikipedia.org | Bot: true | User: MilHistBot | Drift: 1.8531ms | Latency: 43.2µs


[LEADERBOARD] Top 3 Domains:
+--------------------------------+----------+
| Domain                         |    Edits |
+--------------------------------+----------+
| commons.wikimedia.org          |       76 |
| en.wikipedia.org               |       65 |
| ce.wikipedia.org               |       35 |
+--------------------------------+----------+


============= [RUN COMPLETE] Duration: 10s============


========== [FINAL LEADERBOARD - TOP 10] ==========
+------+--------------------------------+----------+
| Rank | Domain                         |    Edits |
+------+--------------------------------+----------+
| 1    | commons.wikimedia.org          |       76 |
| 2    | en.wikipedia.org               |       65 |
| 3    | ce.wikipedia.org               |       35 |
| 4    | www.wikidata.org               |       26 |
| 5    | zh.wikisource.org              |       24 |
| 6    | en.wiktionary.org              |       10 |
| 7    | tr.wiktionary.org              |        8 |
| 8    | ru.wikipedia.org               |        5 |
| 9    | ja.wikipedia.org               |        4 |
| 10   | ar.wikipedia.org               |        3 |
+------+--------------------------------+----------+


==================== [FINAL STATISTICS] =====================

[STATS] Packets: 283 | Violations: 0 (0.00%)

======================= [DRIFT STATS] =======================
[STATS] Human Drift avg/max: 663.269µs / 12.2037ms
[STATS] Bot Drift avg/max: 12.306739ms / 106.4536ms
[STATS] Human Drift p50/p90/p99: 170.4µs / 928.6µs / 12.0544ms
[STATS] Bot Drift p50/p90/p99: 5.4932ms / 26.3555ms / 81.4011ms

======================= [LATENCY STATS] =======================
[STATS] Human Latency avg/max: 76.273µs / 834.9µs
[STATS] Bot Latency avg/max: 62.984µs / 341.9µs
[STATS] Human Latency p50/p90/p99: 62.6µs / 107.7µs / 349.6µs
[STATS] Bot Latency p50/p90/p99: 56.6µs / 84.4µs / 212.3µs

======================= [JITTER STATS] =======================
[STATS] Human Jitter avg/max (windowed): 94.052µs / 149.996µs
[STATS] Bot Jitter avg/max (windowed): 37.607µs / 48.595µs
[STATS] Human Jitter p50/p90/p99: 90.551µs / 129.756µs / 147.594µs
[STATS] Bot Jitter p50/p90/p99: 39.106µs / 44.136µs / 46.218µs
